常州耀莱成龙国际影城(武进店),456290,30.40,28.33
上海金逸影城(龙之梦IMAX店),922838,41.16,53.63
福州万达国际影城(仓山店),787093,35.92,44.80
上海万达影城(松江店),727190,29.04,48.54
广州星汇电影城,1112976,45.86,37.97
东莞万达影城(虎门店),689548,30.04,39.13
广州青宫电影城,1009234,42.02,35.98
南京万达国际影城(河西店),939842,39.00,38.40
北京CGV影城(清河店),678778,43.29,46.33
上海耀莱成龙国际影城(金沙江路店),509852,33.22,34.02
天津耀莱成龙国际影城(蓟县店),532200,43.73,29.90
南宁万达国际影城(悦荟店),889760,55.22,39.73
杭州中影国际影城(西溪印象城店),985675,58.21,39.51
郑州万达国际影城(中原万达店),869633,33.72,34.37
柳州万达影城(柳南店),575584,21.94,33.27
西安万达国际影城(李家村店),830707,35.09,35.99
上海海上明珠国际影城(环球港店),747574,40.44,49.75
大连万达国际影城(高新店),906538,36.92,36.89
北京华谊兄弟影院(IMAX洋桥店),745204,25.71,40.34
南京南京耀莱成龙国际影城(江宁店),516342,25.61,28.82
南京万达国际影城(竹山路万达广场店),919775,33.91,33.70
深圳金逸影城(中心城店),656856,43.58,45.28
北京耀莱成龙国际影城(马连道店),541643,36.67,37.85
成都太平洋影城(王府井店),1009879,34.43,32.66
北京万达影城(银兴光魔店),700035,43.52,39.53
北京新华国际影城(大钟寺店),771638,39.24,40.59
广州中华广场电影城,918008,47.61,43.32
天津耀莱成龙国际影城(东丽店),461948,30.79,30.57
北京保利国际影城(龙旗广场店),666263,41.53,38.31
武汉万达影城(经开万达广场店),706909,34.76,34.77
大连万达国际影城(经开万达广场店),963285,37.71,39.00
广州橙天嘉禾影城(白云店),659609,32.12,40.90
南宁时代电影大世界,660998,26.07,30.76
成都卢米埃IMAX影城(北城天街店),851164,36.40,32.57
南昌万达国际影城(八一店),706280,45.56,37.37
广州天河电影城(天娱广场店),859534,39.81,38.31
深圳卢米埃华强北九方IMAX影城,1021962,43.95,41.46
长春万达国际影城(红旗街店),765613,43.89,40.49
武汉金逸影城(王家湾店),819870,36.05,30.98
呼和浩特万达国际影城(万达广场店),828089,40.39,44.76
北京保利国际影城(凯德MALL·大峡谷店),653678,35.55,41.91
昆山中影国际影城(昆山九方店),598585,35.34,39.13
青岛CGV影城(万象城IMAX店),936699,41.19,43.54
宁波万达国际影城(鄞州店),730135,39.40,43.27
天津佳映国际影城(滨江道店),857221,26.29,32.27
西安中影国际影城(大唐西市店),790369,36.13,32.13
西安幸福蓝海国际影城(西安店),877472,54.13,29.73
沈阳耀莱成龙国际影城(三好街店),474487,29.97,28.00
广州飞扬影城(乐峰店),870512,37.59,40.82
上海中影国际影城(合生汇店),840499,38.59,47.44
北京首都电影院(悦荟万科广场店),858858,42.68,40.60
福州金逸影城IMAX(万宝商圈店),776658,44.18,37.72
南宁万达国际影城(青秀万达广场店),1025229,31.78,43.35
西安万达国际影城(解放路店),655621,31.24,36.43
北京美嘉欢乐影城(三里屯店),555044,26.58,81.57
广州华影梅花园影城,838559,32.43,32.61
海口中影国际影城(海口上邦店),847099,51.75,32.05
昆明万达国际影城(同德店),870201,32.97,42.84
义乌万达影城(义乌万达广场店),497890,24.75,48.79
厦门万达电影城(SM广场店),750786,47.44,44.49
成都百丽宫影城(太古里店),791729,40.64,48.53
武汉金逸影城(销品茂IMAX店),1045651,42.12,31.85
万州万达国际影城(万州店),261021,12.77,7.58
郑州耀莱成龙国际影城(普罗旺世店),387053,17.99,30.94
天津耀莱成龙国际影城(友谊路店),514935,31.33,30.20
北京金逸影城(中关村店),573825,34.32,54.94
大连中影华臣影城(西安路店),1172776,64.40,26.18
北京中影国际影城(丰台永旺店),658640,33.31,33.40
郑州奥斯卡升龙国际影城,743777,43.04,29.22
广州万达国际影城(萝岗店),628563,29.08,48.77
哈尔滨CGV影城(会展中心IMAX店),854453,31.20,36.41
北京保利国际影城(苹果园店),572590,34.74,45.98
郑州万达影院(惠济万达广场店),716601,28.62,33.89
